year,month,co2_concentration,ch4_concentration,co2e,decimal_year
1983,7,344.32,1.62598,384.9695,1983.5
1983,8,342.51,1.6280599999999998,383.2115,1983.5833333333333
1983,9,340.46,1.63842,381.42049999999995,1983.6666666666667
1983,10,340.53,1.64479,381.64975,1983.75
1983,11,341.79,1.64261,382.85525,1983.8333333333333
1983,12,343.2,1.63954,384.1885,1983.9166666666667
1984,1,344.21,1.63873,385.17825,1984.0
1984,2,344.92,1.6388099999999999,385.89025000000004,1984.0833333333333
1984,3,345.68,1.64086,386.7015,1984.1666666666667
1984,4,347.38,1.64397,388.47925,1984.25
1984,5,347.77,1.64314,388.8485,1984.3333333333333
1984,6,347.16,1.63973,388.15325,1984.4166666666667
1984,7,345.79,1.638,386.74,1984.5
1984,8,343.74,1.64172,384.783,1984.5833333333333
1984,9,341.59,1.65061,382.85524999999996,1984.6666666666667
1984,10,341.86,1.6545699999999999,383.22425,1984.75
1984,11,343.31,1.6537899999999999,384.65475,1984.8333333333333
1984,12,345.0,1.65621,386.40525,1984.9166666666667
1985,1,345.48,1.65559,386.86975,1985.0
1985,2,346.41,1.65224,387.716,1985.0833333333333
1985,3,347.91,1.65461,389.27525,1985.1666666666667
1985,4,348.66,1.6582000000000001,390.115,1985.25
1985,5,349.28,1.65588,390.67699999999996,1985.3333333333333
1985,6,348.65,1.65005,389.90125,1985.4166666666667
1985,7,346.9,1.6468099999999999,388.07025,1985.5
1985,8,345.26,1.65226,386.5665,1985.5833333333333
1985,9,343.47,1.66248,385.03200000000004,1985.6666666666667
1985,10,343.35,1.66748,385.03700000000003,1985.75
1985,11,344.73,1.66682,386.4005,1985.8333333333333
1985,12,346.12,1.6660599999999999,387.7715,1985.9166666666667
1986,1,346.78,1.66628,388.43699999999995,1986.0
1986,2,347.48,1.6669200000000002,389.153,1986.0833333333333
1986,3,348.25,1.66927,389.98175,1986.1666666666667
1986,4,349.86,1.67081,391.63025,1986.25
1986,5,350.52,1.66845,392.23125,1986.3333333333333
1986,6,349.98,1.66476,391.59900000000005,1986.4166666666667
1986,7,348.25,1.6623299999999999,389.80825,1986.5
1986,8,346.17,1.66439,387.77975000000004,1986.5833333333333
1986,9,345.48,1.67257,387.29425000000003,1986.6666666666667
1986,10,344.82,1.67866,386.7865,1986.75
1986,11,346.22,1.67899,388.19475,1986.8333333333333
1986,12,347.48,1.67912,389.458,1986.9166666666667
1987,1,348.73,1.6793900000000002,390.71475000000004,1987.0
1987,2,348.92,1.67903,390.89575,1987.0833333333333
1987,3,349.81,1.68001,391.81025,1987.1666666666667
1987,4,351.4,1.6813399999999998,393.4335,1987.25
1987,5,352.15,1.6818499999999998,394.19624999999996,1987.3333333333333
1987,6,351.58,1.67998,393.5795,1987.4166666666667
1987,7,350.21,1.6759600000000001,392.109,1987.5
1987,8,348.2,1.67717,390.12925,1987.5833333333333
1987,9,346.66,1.6855799999999999,388.7995,1987.6666666666667
1987,10,346.72,1.69156,389.009,1987.75
1987,11,348.08,1.6911800000000001,390.35949999999997,1987.8333333333333
1987,12,349.28,1.6905,391.54249999999996,1987.9166666666667
1988,1,350.51,1.69203,392.81075,1988.0
1988,2,351.7,1.6926199999999998,394.0155,1988.0833333333333
1988,3,352.5,1.69136,394.784,1988.1666666666667
1988,4,353.67,1.69011,395.92275,1988.25
1988,5,354.35,1.68911,396.57775000000004,1988.3333333333333
1988,6,353.88,1.6871500000000001,396.05875,1988.4166666666667
1988,7,352.8,1.686,394.95,1988.5
1988,8,350.49,1.68946,392.7265,1988.5833333333333
1988,9,348.97,1.69611,391.37275,1988.6666666666667
1988,10,349.37,1.70111,391.89775,1988.75
1988,11,350.42,1.70285,392.99125000000004,1988.8333333333333
1988,12,351.62,1.70192,394.168,1988.9166666666667
1989,1,353.07,1.7005299999999999,395.58325,1989.0
1989,2,353.43,1.70108,395.957,1989.0833333333333
1989,3,354.08,1.70246,396.6415,1989.1666666666667
1989,4,355.72,1.70359,398.30975,1989.25
1989,5,355.95,1.7033800000000001,398.5345,1989.3333333333333
1989,6,355.44,1.70019,397.94475,1989.4166666666667
1989,7,354.05,1.6982000000000002,396.505,1989.5
1989,8,351.84,1.702,394.39,1989.5833333333333
1989,9,350.09,1.70717,392.76925,1989.6666666666667
1989,10,350.33,1.71051,393.09274999999997,1989.75
1989,11,351.55,1.71313,394.37825000000004,1989.8333333333333
1989,12,352.91,1.71324,395.74100000000004,1989.9166666666667
1990,1,353.86,1.71215,396.66375,1990.0
1990,2,355.1,1.71353,397.93825000000004,1990.0833333333333
1990,3,355.75,1.71441,398.61025,1990.1666666666667
1990,4,356.38,1.7125599999999999,399.19399999999996,1990.25
